url,source,label,success,headline,status_code,error,final_url,elapsed_ms,fetched_at_utc,headline_method
http://www.foxnews.com/entertainment/lori-loughlin-mossimo-giannulli-asks-serve-remainder-prison-sentence-home,FoxNews,0,True,Lori Loughlin's husband Mossimo Giannulli asks to serve remainder of five-month prison sentence at home,200,,https://www.foxnews.com/entertainment/lori-loughlin-mossimo-giannulli-asks-serve-remainder-prison-sentence-home,756,2026-04-09T23:57:35.705384+00:00,direct_html
https://foxnews.com/politics/back-trail-top-biden-surrogate-newsom-now-campaigning-harris,FoxNews,0,True,Back on the trail: Top Biden surrogate Newsom now campaigning for Harris,200,,https://www.foxnews.com/politics/back-trail-top-biden-surrogate-newsom-now-campaigning-harris,473,2026-04-09T23:54:23.996864+00:00,direct_html
https://foxnews.com/politics/harris-claims-trump-abortion-platform-makes-no-exception-moments-after-trump-says-opposite-absolute-lie,FoxNews,0,True,"Harris claims Trump abortion platform makes ‘no exception,’ moments after Trump says the opposite",200,,https://www.foxnews.com/politics/harris-claims-trump-abortion-platform-makes-no-exception-moments-after-trump-says-opposite-absolute-lie,735,2026-04-09T23:55:17.377863+00:00,direct_html
https://foxnews.com/politics/jimmy-carters-family-reveals-how-president-felt-about-biden-quitting-which-dnc-speaker-stole-show,FoxNews,0,True,"Jimmy Carter’s family reveals how president felt about Biden quitting, which DNC speaker stole the show",200,,https://www.foxnews.com/politics/jimmy-carters-family-reveals-how-president-felt-about-biden-quitting-which-dnc-speaker-stole-show,612,2026-04-09T23:55:39.389316+00:00,direct_html
https://foxnews.com/politics/new-poll-reveals-what-democrats-think-harris-president,FoxNews,0,True,New poll reveals what Democrats think of Harris as president,200,,https://www.foxnews.com/politics/new-poll-reveals-what-democrats-think-harris-president,614,2026-04-09T23:57:38.922327+00:00,direct_html
https://foxnews.com/politics/taylor-swift-endorses-kamala-harris-president-after-debate-ive-made-my-choice,FoxNews,0,True,Taylor Swift endorses Kamala Harris for president after debate: ‘I’ve made my choice,200,,https://www.foxnews.com/politics/taylor-swift-endorses-kamala-harris-president-after-debate-ive-made-my-choice,580,2026-04-09T23:55:18.944322+00:00,direct_html
https://foxnews.com/politics/trump-harris-trade-barbs-crime-during-first-presidential-debate-through-roof,FoxNews,0,True,"Trump, Harris trade barbs on crime during first presidential debate: 'Through the roof",200,,https://www.foxnews.com/politics/trump-harris-trade-barbs-crime-during-first-presidential-debate-through-roof,658,2026-04-09T23:55:20.883410+00:00,direct_html
https://foxnews.com/politics/trump-says-he-probably-took-bullet-head-due-dem-rhetoric,FoxNews,0,True,Trump says he 'probably took a bullet to the head' due to Dem rhetoric,200,,https://www.foxnews.com/politics/trump-says-he-probably-took-bullet-head-due-dem-rhetoric,1450,2026-04-09T23:56:52.738024+00:00,direct_html
https://foxnews.com/politics/trump-spars-harris-moderators-during-heated-presidential-debate-doesnt-have-plan,FoxNews,0,True,"Trump spars with Harris, moderators during heated presidential debate: 'She doesn't have a plan",200,,https://www.foxnews.com/politics/trump-spars-harris-moderators-during-heated-presidential-debate-doesnt-have-plan,638,2026-04-09T23:56:06.590097+00:00,direct_html
https://foxnews.com/sports/nba-great-magic-johnson-slammed-calling-obamas-dnc-speeches-best-history-our-country,FoxNews,0,True,NBA great Magic Johnson slammed for calling Obama’s DNC speeches the best in ‘history of our country,200,,https://www.foxnews.com/sports/nba-great-magic-johnson-slammed-calling-obamas-dnc-speeches-best-history-our-country,1626,2026-04-09T23:54:20.742071+00:00,direct_html
